"ID","NAME","DESCRIPTION","IS_DELETED","CREATED_DATE","UPDATED_DATE"
1,"Teamwork","Teamwork attribute defines your ability to work with other people to achieve a common goal",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
2,"Initiative","Initiative attribute defines your resourcefulness and ability to finish delegated tasks without any help",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
4,"Consistency","Consistency attribute is about your ability to be dependable, reliable and persistent in your actions and work habits",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
5,"Diligence","Diligence attribute is shown as alertness and dedication in continual effort to accomplish a task",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
6,"Effort","Effort attribute defines your ability to smoothly and adaptively carryout complex activities or job functions",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
7,"Knowledge","Knowledge attribute defines a level of your qualifications, required for for successful job performance",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
10,"Persuasion","Persuasion attribute defines your ability to influence others to achieve your goals",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
13,"Empathy","Empathy attribute defines your capacity to understand or feel what another person is experiencing from within",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
15,"Endurance","Endurance attribute shows your power to withstand challenging tasks and work conditions",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
16,"Improvement","Improvement attribute defines your ability to improve overall performance in any identified area of work",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
18,"Grit","Grit attribute defines your passion and perseverance toward a goal despite being confronted by significant obstacles and distractions",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
19,"Perseverance","Perseverance attribute defines your ability to generate continued effort to do or achieve something despite difficulties, failure, or opposition",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
21,"Leadership","Leadership attribute defines your ability to make sound decisions and inspire others to perform well",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
25,"Curiosity","Curiosity attribute shows your attitude towards getting new knowledge or information",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
28,"Communication","Communication attribute defines your ability to convey information to another effectively and efficiently",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
34,"Flexibility","Flexibility attribute defines your ability to adapt to new situations, improvise, and shift strategies to meet different types of challenges",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
36,"Willingness to Learn","Willingness to learn attribute defines your readiness to know new things and to improve yourself",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
39,"Energy","Energy attribute defines your ability to perform active actions and achieve personal goals",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
41,"Cooperation","Cooperation attribute shows your ability to work together with other people and achieve common goals",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
43,"Enthusiasm","Enthusiasm attribute defines your ability to show a keen interest in a subject or an work activity, as well as a readiness to get involved",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
46,"Resilience","Resilience attribute defines your ability to cope with and rise to the inevitable challenges, problems and set-backs you meet in the course of work",0,"16-JUL-19 02.57.07.000000000 PM","16-JUL-19 02.57.07.000000000 PM"
